Algoritmo,Alineamiento.Tiempo,Alineamiento.Score,Alineamiento.Long,Num,Test_Name
ClustalW,0.12477755546569824,1.0,42,2,DataPrueba_2111
ClustalW,0.1341075897216797,1.0,42,2,DataPrueba_2111
Simulated Annealing,223.13348245620728,1.225,40,2,DataPrueba_2111
Simulated Annealing,2368.8360958099365,3.0,40,20,DataPrueba_2111
ClustalW,0.16466975212097168,2.6037735849056602,53,20,DataPrueba_2111
Simulated Annealing,2414.8713030815125,3.0,40,20,DataPrueba_2111
ClustalW,0.13286972045898438,2.6037735849056602,53,20,DataPrueba_2111
ClustalW,0.1405794620513916,2.6037735849056602,53,20,DataPrueba_2111
ClustalW,0.19000649452209473,2.6037735849056602,53,20,DataPrueba_2111
Simulated Annealing,2382.747393131256,3.0,40,20,DataPrueba_2111
ClustalW,0.1366872787475586,2.6037735849056602,53,20,DataPrueba_2111
Simulated Annealing,2425.5792093276978,2.975,40,20,DataPrueba_2111
ClustalW,0.18297219276428223,2.6037735849056602,53,20,DataPrueba_2111
Simulated Annealing,2407.855679512024,3.0,40,20,DataPrueba_2111
ClustalW,0.17579221725463867,2.6037735849056602,53,20,DataPrueba_2111
ClustalW,0.1844933032989502,2.6037735849056602,53,20,DataPrueba_2111
Simulated Annealing,2389.7026193141937,3.0,40,20,DataPrueba_2111
ClustalW,0.12015366554260254,2.6037735849056602,53,20,DataPrueba_2111
ClustalW,0.17016196250915527,2.6037735849056602,53,20,DataPrueba_2111
ClustalW,0.13814997673034668,2.6037735849056602,53,20,DataPrueba_2111
ClustalW,0.18084001541137695,2.6037735849056602,53,20,DataPrueba_2111
ClustalW,0.12065672874450684,2.6037735849056602,53,20,DataPrueba_2111
Simulated Annealing,2402.1077766418457,2.975,40,20,DataPrueba_2111
Simulated Annealing,2411.718024969101,2.975,40,20,DataPrueba_2111
ClustalW,0.17450642585754395,2.6037735849056602,53,20,DataPrueba_2111
Simulated Annealing,2429.3628911972046,3.0,40,20,DataPrueba_2111
ClustalW,0.17838811874389648,2.6037735849056602,53,20,DataPrueba_2111
ClustalW,0.16657233238220215,2.6037735849056602,53,20,DataPrueba_2111
ClustalW,0.1349639892578125,2.6037735849056602,53,20,DataPrueba_2111
ClustalW,0.14830970764160156,2.6037735849056602,53,20,DataPrueba_2111
ClustalW,0.13182687759399414,2.6037735849056602,53,20,DataPrueba_2111
Simulated Annealing,2425.515460252762,3.0,40,20,DataPrueba_2111
ClustalW,0.16566705703735352,2.6037735849056602,53,25,DataPrueba_2111
Simulated Annealing,2870.7324426174164,3.0,40,25,DataPrueba_2111
Simulated Annealing,3054.381338119507,3.0,40,25,DataPrueba_2111
ClustalW,0.1434330940246582,2.6037735849056602,53,25,DataPrueba_2111
ClustalW,0.17838263511657715,2.6037735849056602,53,25,DataPrueba_2111
Simulated Annealing,2848.7256169319153,3.0,40,25,DataPrueba_2111
ClustalW,0.18367981910705566,2.6037735849056602,53,25,DataPrueba_2111
ClustalW,0.15345263481140137,2.6037735849056602,53,25,DataPrueba_2111
ClustalW,0.17419028282165527,2.6037735849056602,53,25,DataPrueba_2111
ClustalW,0.14130258560180664,2.6037735849056602,53,25,DataPrueba_2111
ClustalW,0.15246868133544922,2.6037735849056602,53,25,DataPrueba_2111
Simulated Annealing,2712.9586458206177,3.0,40,25,DataPrueba_2111
Simulated Annealing,2760.822548866272,3.0,40,25,DataPrueba_2111
ClustalW,0.15853571891784668,2.6037735849056602,53,25,DataPrueba_2111
ClustalW,0.1800990104675293,2.6037735849056602,53,25,DataPrueba_2111
Simulated Annealing,2931.1884989738464,3.0,40,25,DataPrueba_2111
Simulated Annealing,2840.3928377628326,2.975,40,25,DataPrueba_2111
ClustalW,0.16766667366027832,2.6037735849056602,53,25,DataPrueba_2111
ClustalW,0.18819379806518555,2.6037735849056602,53,25,DataPrueba_2111
ClustalW,0.13601398468017578,2.6037735849056602,53,25,DataPrueba_2111
Simulated Annealing,3028.8088569641113,3.0,40,25,DataPrueba_2111
ClustalW,0.1874561309814453,2.6037735849056602,53,25,DataPrueba_2111
ClustalW,0.19579601287841797,2.6037735849056602,53,25,DataPrueba_2111
ClustalW,0.14280414581298828,2.6037735849056602,53,25,DataPrueba_2111
ClustalW,0.1979970932006836,2.6037735849056602,53,25,DataPrueba_2111
ClustalW,0.19484639167785645,2.6037735849056602,53,25,DataPrueba_2111
ClustalW,0.1424884796142578,2.6037735849056602,53,25,DataPrueba_2111
Simulated Annealing,2922.456180334091,3.0,40,25,DataPrueba_2111
ClustalW,0.16149449348449707,2.6037735849056602,53,25,DataPrueba_2111
Simulated Annealing,3061.4419100284576,3.0,40,25,DataPrueba_2111
Simulated Annealing,3612.5278210639954,3.0,40,30,DataPrueba_2111
Simulated Annealing,3405.5830795764923,3.0,40,30,DataPrueba_2111
ClustalW,0.17161965370178223,2.8636363636363638,66,30,DataPrueba_2111
ClustalW,0.20397210121154785,2.8636363636363638,66,30,DataPrueba_2111
ClustalW,0.2156682014465332,2.8636363636363638,66,30,DataPrueba_2111
ClustalW,0.19968414306640625,2.8636363636363638,66,30,DataPrueba_2111
Simulated Annealing,3335.389873981476,3.0,40,30,DataPrueba_2111
ClustalW,0.21195292472839355,2.8636363636363638,66,30,DataPrueba_2111
Simulated Annealing,3319.682108402252,3.0,40,30,DataPrueba_2111
ClustalW,0.1955714225769043,2.8636363636363638,66,30,DataPrueba_2111
Simulated Annealing,3331.506602048874,3.0,40,30,DataPrueba_2111
ClustalW,0.17607808113098145,2.8636363636363638,66,30,DataPrueba_2111
ClustalW,0.2012650966644287,2.8636363636363638,66,30,DataPrueba_2111
ClustalW,0.2439250946044922,2.8636363636363638,66,30,DataPrueba_2111
